DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
GH201400000001,GHGE71FL,GH,2014,1,GH2014DHS,27588.44922,31365.30078,35353.60156,77.28786605,87.81676131,99.83885321,112.5340089,11717.08895,0.006124051,0.009824813,0.020808971,-9999,4055,4065.666667,4089.666667,3861.166667,4052.75,4037.5,4008.5,32.78763441,12.0,0.040624054,0.112171335,0.548880838,0.582510131,0.575424944,0.452796187,0.343927213,0.08414732,1387.061995,18972.86143,57243.0886,141290.543,1539.6,1328.5,1536.1,1247.7,1509.7,1768.1,1235.2,0.1675504905515604,0,0,0,27.25,24.10600026,26.81466675,27.29833221,26.40966543,24.89033254,25.63200124,27.15366618,26.65799967,26.43733215,25.48533376,24.69166565,145.06469,27167.04297,28206.87305,29109.2832,29587.85156,86.47538356,89.7852655,92.65772622,94.18105662
GH201400000002,GHGE71FL,GH,2014,2,GH2014DHS,183663.5938,208807.0938,235358.2813,514.525749,584.6193764,664.6536226,749.1686773,7513.41779,0.013830616,0.01788812,0.068209802,-9999,4240.9,4275,4358.2,4135.5,4315.9,4370.4,4398.4,34.66129032,10.0,0.101934442,0.146124221,0.569623832,0.480139324,0.275593025,0.273086854,0.243845974,0.656604368,1565.336927,32891.32379,103603.8678,65518.66203,1335.833333,1041.416667,1475.5,1045,1204.25,1389.333333,1003.25,0.8808026172401449,0,0,1,27.81733195,24.88400014,27.11000061,27.945666,26.96000163,25.14699809,26.13333384,28.05633291,27.29166667,27.01999919,26.39199829,25.66533407,64.39622642,141144.875,160173.75,181419.0625,203171.0156,449.278091,509.8488813,577.4748114,646.7134285
GH201400000003,GHGE71FL,GH,2014,3,GH2014DHS,98855.9375,112389.2891,126680.3281,6923.518546,7866.705554,8943.655455,10080.9002,8691.066667,0.37845795,0.989746461,0.996727723,-9999,3482,3364,3342,3339,3067,2814,2757,76.66666667,12,0.032396586,0.063579561,0.280614425,0.253182411,0.217344999,0.22120446,0.156820267,7.0590452,1650.266667,155388.428,6335.621616,33814.28877,1512,1161,1380,1150,1269,1368,1065,0.37421817779541017,3,3,3,27.46100044,24.52599907,26.2840004,27.65099907,26.47699928,24.87899971,25.83200073,27.71700096,26.88599968,26.65399933,25.86400032,25.15299988,10.06666667,44494.34375,57351.9375,74015.4375,94523.65625,3540.747374,4563.922175,5889.961372,7521.953566
GH201400000004,GHGE71FL,GH,2014,4,GH2014DHS,6293.5625,7155.150391,8064.974121,440.7787212,500.8257908,569.3887766,641.7902486,6328.142857,0.003427629,0.014946343,0.590699636,-9999,1334,1612,1419,2330,2964,3000,2936,32,-9999,0.028762641,0.08339251,0.505469924,0.378854185,0.172562182,0.192474097,0.188097045,7.842864473,1470.428571,3391.660935,95470.79977,88419.60424,973,803,1178,794,985,1211,866,0.10269444329398018,0,0,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.9285714,5487.547852,6520.506836,7699.214844,8951.939453,436.685183,518.8854472,612.6840502,712.3727071
GH201400000005,GHGE71FL,GH,2014,5,GH2014DHS,50547.25391,57581.09375,65138.05469,141.3492352,160.8969064,183.286314,207.3408677,5513.755376,0.000614624,0.001122753,0.001542027,5,2202.3,2209.6,2299.8,2402.1,2614.2,2488.7,2596.7,27.5672043,7.0,0.149350442,0.214207044,0.625631978,0.603400435,0.657490935,0.688656875,0.285660999,0.05875313,1915.080645,3324.181877,24549.89815,175885.6569,927.8181818,867.1818182,933.2727273,1040.818182,970.4545455,1110.363636,960.6363636,0.7027796263335854,0,0,0,31.02919922,25.21560059,26.90379944,29.24760132,27.14119873,25.75339966,26.99119873,31.21520081,29.415802,27.93439941,27.20759888,25.72600098,297.4650538,27323.42383,32187.84375,37604.35547,43225.07813,86.97315929,102.4570888,119.6983811,137.589697
GH201400000006,GHGE71FL,GH,2014,6,GH2014DHS,106310.125,120863.9531,136232.5938,7445.582818,8459.890947,9618.047789,10841.04536,8747.733333,0.534929633,0.841302395,0.90175883,-9999,2665,2571,2646,2674,2578,2423,2398,70.26666667,12,0.026919076,0.056482263,0.263270649,0.244568869,0.205994815,0.217950284,0.152998045,7.604893652,1647.8,161236.7119,12101.41069,28726.33149,1501,1118,1362,1131,1227,1367,1038,0.3806428591410319,3,3,3,27.46100044,24.52599907,26.2840004,27.65099907,26.47699928,24.87899971,25.83200073,27.71700096,26.88599968,26.65399933,25.86400032,25.15299988,7.066666667,52867.30469,68961.59375,89692.07031,115119.7344,4207.046435,5487.789264,7137.468173,9160.937389
GH201400000007,GHGE71FL,GH,2014,7,GH2014DHS,46588.85156,52966.85938,59701.9375,130.5167021,148.2969204,168.5987498,190.0371693,9360.247283,0.007486371,0.010649172,0.014652824,-9999,4076.8,4112.7,4201.1,4179.6,4512.9,4722.8,4702.4,27.46049046,11.0,0.024565791,0.096694908,0.55724994,0.544233595,0.435980797,0.541938509,0.410224165,0.072048249,1485.703804,33907.21131,14176.05991,110578.7787,1425,1166,1469.75,1201.083333,1410.416667,1619.666667,1100.416667,0.5476811035819675,0,0,0,27.44050026,24.55924988,26.78174973,27.4042511,26.51900101,25.07524872,25.9972496,27.56774902,27.19675064,26.79999924,25.99950027,25.39299965,145.3097826,27957.9668,32704.94336,38047.42969,43620.75391,88.9929723,104.103068,121.1087301,138.8491721
GH201400000008,GHGE71FL,GH,2014,8,GH2014DHS,134527.3906,152944.1563,172392,9421.819691,10705.3496,12170.90925,13718.51947,8744.6,0.800615017,0.965029423,0.973753856,-9999,3482,3364,3342,3339,3067,2814,2757,77.25,12.0,0.032396586,0.063579561,0.280614425,0.253182411,0.217344999,0.22120446,0.156820267,13.48871902,1645.733333,157052.9789,7679.561976,31308.15813,1512,1161,1380,1150,1269,1368,1065,0.3343134562174479,3,3,3,27.46100044,24.52599907,26.2840004,27.65099907,26.47699928,24.87899971,25.83200073,27.71700096,26.88599968,26.65399933,25.86400032,25.15299988,11.53333333,62169.0625,81859.17969,107107.8906,138000.8438,4947.256802,6514.146543,8523.375117,10981.75822
GH201400000009,GHGE71FL,GH,2014,9,GH2014DHS,1984.085938,2255.707031,2542.534668,138.9583129,157.8885423,179.5034621,202.3284802,10090.26667,0.216183186,0.377084732,0.43693968,-9999,3836,3750,3966,4108,4288,4355,4336,57.46666667,12,0.075745463,0.152650598,0.614510686,0.46887219,0.351881087,0.441732526,0.30551374,1.981638678,1522,59153.3156,22246.94586,86269.32142,1587,1310,1494,1244,1531,1707,1237,1.0458864212036132,2,2,3,27.13899994,24.33199883,26.40600014,27.14999962,26.23900032,24.79299927,25.70499992,27.22200012,26.93099976,26.52400017,25.83600044,25.2140007,98.46666667,1416.355591,1644.327637,1896.987061,2154.992676,112.7099967,130.8514357,150.9574339,171.4888684
GH201400000010,GHGE71FL,GH,2014,10,GH2014DHS,20685.00391,23516.77734,26507.08984,57.94815935,65.8424124,74.85622719,84.3746875,6541.555851,7.87E-05,0.000266365,0.000374146,5,2796.7,2733.1,2842.4,2944.6,3148.9,3168.4,3168.6,30.64893617,9.0,0.162327148,0.258917319,0.791639124,0.630679067,0.577839979,0.602320353,0.39878486,0.012037357,1862.670213,26155.96139,50905.49055,169.9914434,1558.8,1269.9,1416.3,1345.6,1193.2,1592.4,1191.3,0.32950941045233545,0,0,0,29.64075089,25.92650032,27.4015007,29.82925034,27.94250107,26.26074982,27.16474915,30.3825016,28.59950066,28.12649918,27.41724777,26.62400055,284.9095745,16308.69141,20080.99609,24618.98828,29778.04297,51.91217707,63.9197958,78.36467357,94.78645469
