"SAMPLE","CASEID","IDHSPID","IDHSHID","HHID","HHNUM","PSU","STRATA","DOMAIN","PERWEIGHT","DVWEIGHT","URBAN","CLUSTERNO","DISTRICT","RESIDENT","ELECTRCHH","COOKFUEL","HUSJOB","EDUCLVL","SAMPLESTR","DHSID"
2884,"            1 1  2","   2884         1 1  2","   2884         1 1","            1 1",1,1,49,1,0.961744,,2,1,6,1,1,520,61,2,"2884","GH200300000001"
2884,"            1 5  1","   2884         1 5  1","   2884         1 5","            1 5",5,1,49,1,0.961744,,2,1,6,1,1,520,99,2,"2884","GH200300000001"
2884,"            1 6  2","   2884         1 6  2","   2884         1 6","            1 6",6,1,49,1,0.961744,,2,1,6,1,1,520,61,2,"2884","GH200300000001"
2884,"            1 7  2","   2884         1 7  2","   2884         1 7","            1 7",7,1,49,1,0.961744,,2,1,6,1,1,520,99,2,"2884","GH200300000001"
2884,"            111  1","   2884         111  1","   2884         111","            111",11,1,49,1,0.961744,,2,1,6,1,1,520,31,1,"2884","GH200300000001"
2884,"            111  3","   2884         111  3","   2884         111","            111",11,1,49,1,0.961744,,2,1,6,1,1,520,99,2,"2884","GH200300000001"
2884,"            112  2","   2884         112  2","   2884         112","            112",12,1,49,1,0.961744,,2,1,6,1,1,220,40,3,"2884","GH200300000001"
2884,"            112  3","   2884         112  3","   2884         112","            112",12,1,49,1,0.961744,,2,1,6,1,1,220,99,2,"2884","GH200300000001"
2884,"            113  2","   2884         113  2","   2884         113","            113",13,1,49,1,0.961744,,2,1,6,1,1,220,61,2,"2884","GH200300000001"
2884,"            115  1","   2884         115  1","   2884         115","            115",15,1,49,1,0.961744,,2,1,6,1,0,520,98,0,"2884","GH200300000001"
2884,"            115  2","   2884         115  2","   2884         115","            115",15,1,49,1,0.961744,,2,1,6,1,0,520,98,0,"2884","GH200300000001"
2884,"            116  3","   2884         116  3","   2884         116","            116",16,1,49,1,0.961744,,2,1,6,1,1,220,20,2,"2884","GH200300000001"
2884,"            116  4","   2884         116  4","   2884         116","            116",16,1,49,1,0.961744,,2,1,6,1,1,220,20,3,"2884","GH200300000001"
2884,"            116  5","   2884         116  5","   2884         116","            116",16,1,49,1,0.961744,,2,1,6,1,1,220,99,3,"2884","GH200300000001"
2884,"            116  6","   2884         116  6","   2884         116","            116",16,1,49,1,0.961744,,2,1,6,1,1,220,99,2,"2884","GH200300000001"
2884,"            116  9","   2884         116  9","   2884         116","            116",16,1,49,1,0.961744,,2,1,6,1,1,220,99,3,"2884","GH200300000001"
2884,"            119  2","   2884         119  2","   2884         119","            119",19,1,49,1,0.961744,,2,1,6,1,1,520,61,3,"2884","GH200300000001"
2884,"            119  3","   2884         119  3","   2884         119","            119",19,1,49,1,0.961744,,2,1,6,1,1,520,99,2,"2884","GH200300000001"
2884,"            2 1  1","   2884         2 1  1","   2884         2 1","            2 1",1,2,63,5,1.456091,,2,2,6,1,0,530,61,1,"2884","GH200300000002"
2884,"            2 4  2","   2884         2 4  2","   2884         2 4","            2 4",4,2,63,5,1.456091,,2,2,6,1,1,530,40,2,"2884","GH200300000002"
2884,"            2 4  3","   2884         2 4  3","   2884         2 4","            2 4",4,2,63,5,1.456091,,2,2,6,1,1,530,99,1,"2884","GH200300000002"
2884,"            212  2","   2884         212  2","   2884         212","            212",12,2,63,5,1.456091,,2,2,6,1,1,530,40,1,"2884","GH200300000002"
2884,"            213  2","   2884         213  2","   2884         213","            213",13,2,63,5,1.456091,,2,2,6,1,0,530,40,0,"2884","GH200300000002"
2884,"            213  3","   2884         213  3","   2884         213","            213",13,2,63,5,1.456091,,2,2,6,1,0,530,99,2,"2884","GH200300000002"
2884,"            214  2","   2884         214  2","   2884         214","            214",14,2,63,5,1.456091,,2,2,6,1,0,530,40,1,"2884","GH200300000002"
2884,"            216  2","   2884         216  2","   2884         216","            216",16,2,63,5,1.456091,,2,2,6,1,0,530,40,2,"2884","GH200300000002"
2884,"            219  1","   2884         219  1","   2884         219","            219",19,2,63,5,1.456091,,2,2,6,1,0,530,20,0,"2884","GH200300000002"
2884,"            220  3","   2884         220  3","   2884         220","            220",20,2,63,5,1.456091,,2,2,6,1,0,530,99,1,"2884","GH200300000002"
2884,"            3 5  2","   2884         3 5  2","   2884         3 5","            3 5",5,3,60,6,0.89504,,1,3,10,1,1,520,20,2,"2884","GH200300000003"
2884,"            3 6  1","   2884         3 6  1","   2884         3 6","            3 6",6,3,60,6,0.89504,,1,3,10,1,1,520,40,2,"2884","GH200300000003"
2884,"            3 6  5","   2884         3 6  5","   2884         3 6","            3 6",6,3,60,6,0.89504,,1,3,10,1,1,520,99,1,"2884","GH200300000003"
2884,"            3 6  6","   2884         3 6  6","   2884         3 6","            3 6",6,3,60,6,0.89504,,1,3,10,1,1,520,99,1,"2884","GH200300000003"
2884,"            3 7  3","   2884         3 7  3","   2884         3 7","            3 7",7,3,60,6,0.89504,,1,3,10,1,1,520,99,2,"2884","GH200300000003"
2884,"            3 7  4","   2884         3 7  4","   2884         3 7","            3 7",7,3,60,6,0.89504,,1,3,10,1,1,520,99,2,"2884","GH200300000003"
2884,"            3 7  7","   2884         3 7  7","   2884         3 7","            3 7",7,3,60,6,0.89504,,1,3,10,1,1,520,99,2,"2884","GH200300000003"
2884,"            3 7  9","   2884         3 7  9","   2884         3 7","            3 7",7,3,60,6,0.89504,,1,3,10,2,1,520,61,2,"2884","GH200300000003"
2884,"            3 9  2","   2884         3 9  2","   2884         3 9","            3 9",9,3,60,6,0.89504,,1,3,10,1,1,520,61,0,"2884","GH200300000003"
2884,"            311  2","   2884         311  2","   2884         311","            311",11,3,60,6,0.89504,,1,3,10,1,1,520,99,2,"2884","GH200300000003"
2884,"            315  2","   2884         315  2","   2884         315","            315",15,3,60,6,0.89504,,1,3,10,1,1,520,61,2,"2884","GH200300000003"
2884,"            316  2","   2884         316  2","   2884         316","            316",16,3,60,6,0.89504,,1,3,10,1,1,220,99,2,"2884","GH200300000003"
2884,"            316  3","   2884         316  3","   2884         316","            316",16,3,60,6,0.89504,,1,3,10,1,1,220,99,2,"2884","GH200300000003"
2884,"            317  1","   2884         317  1","   2884         317","            317",17,3,60,6,0.89504,,1,3,10,1,1,520,61,2,"2884","GH200300000003"
2884,"            317  5","   2884         317  5","   2884         317","            317",17,3,60,6,0.89504,,1,3,10,1,1,520,99,2,"2884","GH200300000003"
2884,"            318  2","   2884         318  2","   2884         318","            318",18,3,60,6,0.89504,,1,3,10,1,0,520,50,2,"2884","GH200300000003"
2884,"            320  1","   2884         320  1","   2884         320","            320",20,3,60,6,0.89504,,1,3,10,1,1,220,99,3,"2884","GH200300000003"
2884,"            4 1  3","   2884         4 1  3","   2884         4 1","            4 1",1,4,149,2,1.745794,,2,4,9,1,0,530,98,2,"2884","GH200300000004"
2884,"            4 3  2","   2884         4 3  2","   2884         4 3","            4 3",3,4,149,2,1.745794,,2,4,9,1,0,530,20,2,"2884","GH200300000004"
2884,"            4 4  1","   2884         4 4  1","   2884         4 4","            4 4",4,4,149,2,1.745794,,2,4,9,1,0,530,61,2,"2884","GH200300000004"
2884,"            4 7  2","   2884         4 7  2","   2884         4 7","            4 7",7,4,149,2,1.745794,,2,4,9,1,0,530,40,2,"2884","GH200300000004"
2884,"            4 9  2","   2884         4 9  2","   2884         4 9","            4 9",9,4,149,2,1.745794,,2,4,9,1,0,530,40,1,"2884","GH200300000004"
2884,"            410  2","   2884         410  2","   2884         410","            410",10,4,149,2,1.745794,,2,4,9,1,0,530,61,1,"2884","GH200300000004"
2884,"            412  2","   2884         412  2","   2884         412","            412",12,4,149,2,1.745794,,2,4,9,1,0,530,40,1,"2884","GH200300000004"
